-26796,-27344,-27328,-27277,-27253,-27234
-27209,-27184,-27156,-27069,-27044,-27014
-26984,-26959,-26928,-26856,-26831,-26809
-26794,-26777,-26761,-26724,-26716,-26706
-26699,-26694,-26691,-26678,-26678,-26678
-26678,-26678,-26677,-26674,-26669,-26669
-26664,-26666,-26662,-26646,-26644,-26641
-26636,-26631,-26627,-26606,-26601,-26594
-26586,-26581,-26578,-26559,-26556,-26552
-26546,-26544,-26544,-26546,-26549,-26553
-26564,-26569,-26581,-26624,-26639,-26656
-26678,-26702,-26721,-26791,-26814,-26841
-26866,-26889,-26916,-26981,-27001,-27019
-27039,-27053,-27071,-27111,-27121,-27131
-27139,-27149,-27159,-27181,-27191,-27203
-27211,-27219,-27231,-27264,-27277,-27289
-27299,-27314,-27326,-27356,-27361,-27371
-27374,-27382,-27384,-27377,-27371,-27361
-27353,-27466,-27414,-27234,-27161,-27089
-27009,-26919,-26831,-26531,-26428,-26328
-26228,-26131,-26044,-25841,-25801,-25777
-25766,-25772,-25791,-25921,-25978,-26044
-26109,-26176,-26239,-26403,-26449,-26489
-26526,-26553,-26578,-26641,-26656,-26671
-26681,-26694,-26701,-26716,-26716,-26714
-26711,-26706,-26699,-26674,-26664,-26656
-26644,-26636,-26626,-26599,-26596,-26584
-26581,-26576,-26569,-26574,-26584,-26591
-26609,-26628,-26653,-26766,-26814,-26866
-26919,-26974,-27034,-27206,-27259,-27306
-27356,-27399,-27434,-27496,-27503,-27503
-27501,-27484,-27464,-27369,-27331,-27291
-27249,-27211,-27171,-27091,-27078,-27069
-27078,-27091,-27109,-27214,-27261,-27306
-27356,-27409,-27453,-27578,-27609,-27634
-27649,-27656,-27656,-27614,-27586,-27551
-27509,-26869,-26811,-26678,-26641,-26599
-26551,-26484,-26403,-26016,-25844,-25657
-25466,-25274,-25096,-24734,-24696,-24704
-24756,-24851,-24981,-25524,-25719,-25903
-26071,-26209,-26319,-26453,-26449,-26424
-26391,-26353,-26321,-26286,-26303,-26339
-26381,-26428,-26476,-26591,-26611,-26624
-26628,-26624,-26614,-26587,-26578,-26577
-26584,-26589,-26601,-26653,-26674,-26694
-26706,-26728,-26746,-26824,-26864,-26906
-26959,-27021,-27091,-27346,-27446,-27541
-27641,-27734,-27824,-28016,-28053,-28066
-28069,-28053,-28021,-27846,-27771,-27686
-27599,-27509,-27414,-27121,-27021,-26916
-26819,-26724,-26636,-26456,-26434,-26432
-26449,-26478,-26528,-26736,-26814,-26889
-26959,-27024,-27084,-27214,-27239,-27256
-27261,-27256,-27239,-27111,-27056,-26994
-26928,-25751,-25659,-25596,-25646,-25722
-25799,-25861,-25891,-25686,-25519,-25319
-25104,-24896,-24711,-24476,-24524,-24631
-24799,-25011,-25257,-26049,-26291,-26491
-26649,-26749,-26786,-26569,-26419,-26256
-26094,-25956,-25851,-25803,-25871,-25971
-26086,-26201,-26314,-26521,-26539,-26534
-26509,-26481,-26452,-26401,-26411,-26434
-26461,-26494,-26527,-26589,-26596,-26603
-26609,-26614,-26628,-26726,-26778,-26846
-26926,-27014,-27114,-27459,-27584,-27706
-27824,-27934,-28036,-28221,-28236,-28224
-28177,-28109,-28011,-27624,-27486,-27361
-27246,-27153,-27077,-26906,-26846,-26782
-26696,-26596,-26499,-26253,-26224,-26231
-26274,-26346,-26434,-26694,-26739,-26761
-26753,-26728,-26696,-26609,-26596,-26589
-26576,-26553,-26519,-26266,-26141,-26003
-25871,-24899,-24692,-24459,-24521,-24634
-24771,-24906,-25009,-24971,-24851,-24711
-24579,-24476,-24429,-24671,-24854,-25067
-25279,-25494,-25684,-26153,-26281,-26391
-26486,-26553,-26591,-26486,-26403,-26311
-26234,-26178,-26159,-26302,-26391,-26478
-26549,-26589,-26599,-26371,-26231,-26074
-25924,-25799,-25711,-25756,-25866,-26001
-26149,-26289,-26403,-26544,-26516,-26478
-26434,-26399,-26384,-26471,-26534,-26606
-26689,-26774,-26864,-27169,-27269,-27356
-27431,-27491,-27536,-27566,-27536,-27486
-27406,-27302,-27174,-26721,-26586,-26478
-26402,-26369,-26374,-26489,-26509,-26491
-26424,-26303,-26141,-25609,-25509,-25496
-25569,-25726,-25944,-26626,-26761,-26834
-26841,-26809,-26759,-26653,-26653,-26644
-26619,-26566,-26469,-25919,-25671,-25404
-25144,-24652,-24454,-24074,-24059,-24094
-24169,-24256,-24337,-24419,-24401,-24386
-24389,-24426,-24504,-24976,-25169,-25349
-25496,-25607,-25671,-25774,-25828,-25903
-25996,-26099,-26199,-26396,-26434,-26466
-26506,-26556,-26616,-26819,-26853,-26864
-26841,-26799,-26716,-26266,-26049,-25821
-25616,-25471,-25401,-25746,-25994,-26264
-26527,-26764,-26951,-27076,-26984,-26859
-26741,-26659,-26628,-26831,-26928,-27006
-27066,-27119,-27169,-27399,-27478,-27541
-27576,-27589,-27577,-27434,-27346,-27228
-27084,-26919,-26731,-26181,-26046,-25951
-25899,-25896,-25924,-26066,-26074,-26044
-25971,-25853,-25686,-25026,-24836,-24724
-24729,-24856,-25099,-26149,-26431,-26628
-26744,-26791,-26803,-26821,-26811,-26764
-26669,-26511,-26311,-25571,-25326,-25096
-24869,-24536,-24399,-23942,-23846,-23796
-23794,-23814,-23856,-24009,-24059,-24109
-24151,-24199,-24256,-24591,-24749,-24894
-25011,-25086,-25132,-25334,-25481,-25651
-25824,-25977,-26096,-26311,-26346,-26361
-26374,-26403,-26461,-26734,-26789,-26816
-26816,-26814,-26814,-26691,-26584,-26469
-26378,-26353,-26412,-26916,-27066,-27153
-27181,-27166,-27114,-26761,-26574,-26376
-26216,-26149,-26199,-26834,-27036,-27169
-27231,-27251,-27253,-27321,-27321,-27278
-27203,-27112,-27021,-26899,-26896,-26891
-26881,-26861,-26819,-26559,-26441,-26344
-26278,-26249,-26246,-26114,-25978,-25836
-25716,-25651,-25636,-25579,-25444,-25257
-25057,-24914,-24892,-25661,-26061,-26416
-26681,-26846,-26903,-26644,-26449,-26216
-25964,-25703,-25456,-24921,-24814,-24726
-24644,-24274,-24189,-23921,-23941,-24046
-24204,-24379,-24549,-24714,-24629,-24489
-24327,-24186,-24107,-24301,-24446,-24571
-24649,-24669,-24659,-24917,-25179,-25479
-25759,-25984,-26166,-26611,-26681,-26656
-26551,-26436,-26391,-26794,-26916,-26956
-26936,-26896,-26878,-26806,-26776,-26786
-26866,-27014,-27194,-27577,-27536,-27374
-27116,-26811,-26509,-25926,-25824,-25756
-25749,-25831,-26014,-26746,-26877,-26911
-26889,-26851,-26831,-26909,-26889,-26809
-26671,-26503,-26346,-26149,-26191,-26296
-26464,-26689,-26936,-27303,-27214,-27069
-26936,-26853,-26828,-26544,-26244,-25891
-25586,-25404,-25379,-25749,-25728,-25544
-25219,-24851,-24574,-25264,-25887,-26489
-26939,-27176,-27199,-26261,-25786,-25334
-24971,-24714,-24554,-24361,-24342,-24331
-24319,-24049,-23961,-23876,-24069,-24356
-24686,-25014,-25289,-25514,-25339,-25086
-24846,-24686,-24634,-24751,-24766,-24774
-24784,-24786,-24784,-24994,-25226,-25499
-25749,-25946,-26116,-26853,-27019,-26978
-26744,-26436,-26241,-26706,-26827,-26806
-26728,-26701,-26746,-26674,-26639,-26749
-26996,-27251,-27399,-27266,-27264,-27246
-27149,-26931,-26639,-25959,-25909,-25971
-26128,-26352,-26569,-26496,-26219,-25921
-25676,-25509,-25429,-25514,-25599,-25676
-25739,-25784,-25839,-26078,-26139,-26199
-26303,-26478,-26721,-27341,-27374,-27336
-27269,-27227,-27228,-26976,-26653,-26264
-25927,-25709,-25629,-25654,-25556,-25326
-24946,-24499,-24164,-25241,-26009,-26549
-26714,-26528,-26139,-24821,-24454,-24184
-24039,-24017,-24056,-24046,-24041,-24059
-24079,-23839,-23721,-23971,-24231,-24434
-24549,-24617,-24696,-24994,-24971,-24894
-24836,-24839,-24907,-24851,-24699,-24606
-24619,-24709,-24806,-25009,-25182,-25409
-25629,-25809,-25949,-26581,-26784,-26819
-26669,-26434,-26303,-26931,-27002,-26884
-26766,-26826,-27053,-26841,-26636,-26751
-27141,-27511,-27589,-26909,-26986,-27131
-27166,-27021,-26766,-26136,-26046,-26051
-26166,-26331,-26436,-25596,-25082,-24661
-24419,-24329,-24312,-24306,-24381,-24489
-24589,-24669,-24769,-25349,-25484,-25539
-25567,-25634,-25777,-26591,-26924,-27194
-27352,-27381,-27341,-27077,-26876,-26666
-26552,-26569,-26664,-26434,-26196,-25896
-25464,-24901,-24399,-25421,-26126,-26346
-25953,-25186,-24429,-23651,-23639,-23659
-23726,-23829,-23899,-23819,-23849,-23907
-23919,-23646,-23676,-24709,-24924,-24841
-24557,-24284,-24194,-24789,-24931,-24956
-24879,-24761,-24639,-24349,-24267,-24249
-24301,-24369,-24421,-24879,-25216,-25546
-25807,-25984,-26119,-26524,-26694,-26861
-26961,-26944,-26828,-26856,-26891,-26799
-26703,-26786,-27039,-26624,-26294,-26374
-26803,-27201,-27256,-26651,-26681,-26614
-26364,-26053,-25864,-26131,-26156,-26111
-26049,-25978,-25861,-24884,-24494,-24254
-24217,-24336,-24484,-24459,-24499,-24592
-24634,-24574,-24464,-24476,-24444,-24351
-24301,-24386,-24619,-25821,-26356,-26844
-27144,-27203,-27111,-27081,-27091,-27034
-26989,-27053,-27186,-26941,-26781,-26671
-26426,-25891,-25176,-25124,-25576,-25584
-25076,-24379,-23881,-23864,-23809,-23701
-23619,-23566,-23501,-23431,-23556,-23667
-23689,-23607,-23724,-24824,-24907,-24669
-24301,-24084,-24151,-24929,-25016,-24959
-24757,-24457,-24174,-24001,-24064,-24146
-24234,-24276,-24284,-25096,-25506,-25739
-25774,-25719,-25711,-26236,-26471,-26734
-26989,-27109,-26936,-25936,-25974,-26061
-26089,-26159,-26346,-26503,-26356,-26366
-26471,-26466,-26261,-25849,-25814,-25607
-25276,-25001,-24911,-25242,-25284,-25259
-25166,-25014,-24811,-24276,-24167,-24124
-24189,-24334,-24439,-23961,-23906,-24021
-24171,-24236,-24239,-24484,-24386,-24131
-23896,-23851,-24001,-24919,-25401,-25949
-26439,-26746,-26856,-26994,-27116,-27149
-27089,-27036,-27051,-26816,-26766,-26859
-26894,-26596,-25927,-24709,-24791,-24709
-24416,-24119,-24009,-23994,-23791,-23606
-23494,-23411,-23309,-23264,-23417,-23539
