109.7,124.8,127.4,116
109.9,98.8,79.6,80.5
106.9,94.7,86.8,91.9
97.4,124,104.6,111.6
76.6,120.9,76,94.8
81.2,97.5,124.3,138.2
94.2,125,201.6,53.8
44.4,114.7,187.6,173.7
104,55.2,106.5,88.4
40.3,73.5,57.2,47.9
37.5,68.4,76.5,91.4
138.5,86.9,74,43.3
113.3,76.7,54.8,69
54.1,36.5,27.2,39.5
44.7,58.9,89.7,82.3
93.6,74.6,71.7,74.1
55.3,83.9,83.8,101.8
117.4,77.2,80.1,95.6
113.9,109.5,139.3,73.5
125.4,74.8,33.3,72
44.1,44.2,91.6,94.3
98.2,21.5,53.5,27.9
73.1,72.6,71.8,57.3
78.6,53.6,44.5,49.6
31.9,40.4,71.8,75
49.4,72.2,36.6,49.4
15.8,12.9,13.5,39.9
28.2,12.6,27.5,18.5
17.1,9.6,28.2,39.2
20.3,4,34.6,22.5
1.1,10.9,11.8,15.8
9.6,22.5,28.3,18.2
4,4.6,7.1,5
30.8,38.3,11.6,30.6
24.2,20.7,4.4,11.1
36.9,23.6,13.1,160.53
67.47,72.75,79.65,69.94
54.18,42.53,52.5,69.71
59.06,67.8,55.71,10.56
38.71,28.88,95.65,135.59
101.88,119.24,30.24,65.29
49.19,69.69,62.88,120.3
113.06,104.5,99.06,105.44
120.88,71.35,73.88,23.94
92.88,28.82,53.24,53.12
26.24,33.29,52.65,75
109.56,138.25,92.88,111.75
154.44,87.81,50.4,95.41
110.88,154.24,169.47,107.67
89.44,107.44,115.56,119.75
164.65,152.88,133.75,152.76
71.76,88,65.19,84.69
127.94,158.5,144.56,149.5
87.29,45.5,90.81,42.25
70.75,87,82.59,57.69
51.12,52.35,77.94,118.35
137.59,129.41,144.18,118.88
131.56,134.38,27,65
66.94,33.14,88.76,66.65
90.31,52.69,53.63,75.44
24.5,23.44,39.44,97.18
94.71,94.25,73.25,102.23
63.56,99.81,73,56.24
25.24,64.47,60.44,56.88
29.71,39.75,68.81,89.94
33.53,6.31,47.63,95.13
36.38,45.13,67.13,60.31
42.94,23.56,36.75,21.75
3.63,1.81,15.21,3.82
2.88,35.35,15.88,35.88
50.47,49.35,32.47,10.46
25.35,32.41,39.71,48.29
50.06,51.18,32.94,68.44
69.13,75.25,80.19,85.88
104.19,103.63,122.76,122.82
112.82,56.12,21.88,35
69.53,61.53,56.35,89.06
104.76,117.76,90.59,97.41
73.75,77.76,82.65,62.53
95.82,124.07,116.53,117.12
147.88,123.29,127.24,96.82
83.53,97.71,63.63,61.65
70.47,92.88,99,126.58
139.44,83.31,74.13,142.56
96.31,25.76,107,90.69
50,93.38,169.75,118.94
75.75,55.67,67.81,96.82
73.82,85.82,160.86,164.8
146.56,146.29,166.81,138.76
175.92,107.47,162.35,211.93
208.44,175.75,75,120.75
126.19,127.13,135.88,85.71
89.94,134.59,152.35,200.6
89.5,77.56,76.38,105.5
141.75,142.38,158.19,83.82
73.12,134.82,191.71,177.12
180.76,239.2,220.29,135.18
87,196.88,163.35,93.47
170.06,186.88,191.29,182.19
114.69,115.13,73.33,124.2
148.6,164.33,98.88,130.59
121.47,141.06,131.35,146.71
119.82,122.35,145.41,132.71
126.29,170.54,159.81,169.94
50.06,96.31,86.5,98.27
86.75,137.31,89.93,116.71
117.76,67.41,127.59,78.06
65.82,69.53,114.25,15.44
55.88,19.69,25.38,47.44
86.75,56.5,77.94,39.29
81.88,40.88,8.29,19.06
12.06,32.69,45.06,3.06
22.18,9.18,1.71,27
39.69,51.31,41.19,48.31
38.88,20.53,4.29,0.12
2.94,48.24,48,27.36
32.71,15.35,11.47,99.9
75.1,104.9,99.5,107.9
127.5,119.8,113.3,95.1
97.5,76.1,105.8,122.2
125.2,161.5,169.5,124.9
112.9,126.8,132.4,107.9
131.3,141.7,146.2,157.3
130.7,135.3,131.9,125.6
145.6,148.4,115.1,95.2
60.9,78.8,23.1,87.4
95.5,79.3,57.7,76.8
107.8,117.4,135.6,150.5
151.9,88.1,98.8,21.3
39.3,120.4,116.5,92
93.2,80.1,54.9,134.4
130.1,127.3,184.6,122.3
